Cl1984,CostzPr_6_84_1,CostzPr_6_84_2,MSAVI_22_06_84,NDVI_22_06_84,SAVI_22_06_84,CostzPr_6_84_3,CostzPr_6_84_4,CostzPr_6_84_5,CostzPr_6_84_6,entropy_22_6_84_b4,entropy_22_6_84_b5,entropy_22_6_84_b7,homogeneity_22_6_84_b4,homogeneity_22_6_84_b5,homogeneity_22_6_84_b7,mean_22_6_84_b4,mean_22_6_84_b5,mean_22_6_84_b7,variance_22_6_84_b4,variance_22_6_84_b5,variance_22_6_84_b7
Set,62,31,-0.59830147,0.108433738,0.161676645,37,46,82,50,0.516285479,1.233767271,0.26485309,0.916666687,0.75,0.944444418,0.346354157,0.341145843,0.217013896,115.9787598,113.8333969,46.0089035
Set,61,30,-0.523431778,0.132530123,0.19760479,36,47,73,46,1.889159203,1.812142849,1.735126495,0.422222227,0.483333319,0.627777755,0.385416657,0.3515625,0.212673604,146.778183,116.5333405,43.71788406
Set,63,32,-0.573923826,0.116279073,0.173410401,38,48,97,57,1.320975304,1.754004121,1.166942596,0.661111116,0.538888872,0.75,0.394965291,0.3828125,0.240451396,148.1268768,141.2333527,55.37089539
Set,63,32,-0.444682121,0.159090906,0.237288132,37,51,80,50,1.599971414,1.889159203,1.24395895,0.638888896,0.383333325,0.638888896,0.405381948,0.3671875,0.233506948,159.0688782,131.2633057,53.85931015
Set,66,33,-0.521630108,0.13333334,0.198895022,39,51,97,59,1.0720433,1.504077435,0.998872638,0.805555582,0.605555534,0.75,0.410590291,0.384548604,0.2421875,164.3107758,138.722168,55.34511566
Set,73,41,-0.598711729,0.109090909,0.162895933,49,61,110,58,1.889159203,1.754004121,1.629040718,0.572222233,0.805555582,0.777777791,0.469618052,0.412326396,0.236111104,218.4788361,165.1551666,54.265625
Set,85,46,-0.731716752,0.068965517,0.103004292,54,62,103,57,1.504077435,1.493885756,1.442093134,0.622222245,0.888888896,0.805555582,0.470486104,0.409722209,0.235243052,208.433548,162.0907135,54.05611038
Set,73,41,-0.598711729,0.109090909,0.162895933,49,61,110,58,1.889159203,1.754004121,1.629040718,0.572222233,0.805555582,0.777777791,0.469618052,0.412326396,0.236111104,218.4788361,165.1551666,54.265625
Br,52,23,-0.830018759,0.037037037,0.055045873,26,28,59,33,1.306938052,0.766212225,0.683738887,0.722222209,0.861111104,0.888888896,0.220486104,0.245659724,0.152777776,46.18405914,58.51771927,22.52951431
Br,52,23,-0.830018759,0.037037037,0.055045873,26,28,59,33,1.306938052,0.766212225,0.683738887,0.722222209,0.861111104,0.888888896,0.220486104,0.245659724,0.152777776,46.18405914,58.51771927,22.52951431
Set,76,37,-1.024089336,-0.012345679,-0.018404908,41,40,68,44,2.04319191,1.676987767,1.445938706,0.661111116,0.611111104,0.722222209,0.3046875,0.274305552,0.184027776,90.3567276,72.92633057,32.86643982
Set,73,38,-0.977522433,0,0,43,43,82,53,2.197224617,2.120208263,1.889159203,0.342156857,0.516666651,0.655555546,0.311631948,0.302951396,0.203125,95.37817383,94.21120453,42.88849258
Set,65,30,-1.029837489,-0.015384615,-0.022900764,33,32,62,40,1.889159203,2.04319191,1.676987767,0.412091494,0.550000012,0.688888907,0.294270843,0.282118052,0.180555552,87.79611969,78.93883514,31.72400665
Set,56,25,-1.211811423,-0.063829787,-0.094736844,25,22,41,27,2.197224617,1.966175556,1.783073425,0.304183006,0.332026154,0.550000012,0.253472209,0.230902776,0.151909724,70.67550659,57.33341217,25.64884949
Set,74,39,-1.021972775,-0.011235955,-0.016759777,45,44,79,52,1.860089779,1.966175556,2.04319191,0.74444443,0.733333349,0.777777791,0.336805552,0.309027791,0.204861104,109.6311874,93.20584869,41.46713257
